source target weight
cyclone hedgehog 1
cyclone link 2
cyclone "nazar amulet" 1
cyclone rainbow 2
cyclone seedling 1
cyclone "squinting face with tongue" 1
cyclone warning 2
cyclone "water wave" 2
cyclone "white medium star" 2
dagger "artist palette" 1
dagger camera 1
dagger collision 1
dagger "crossed swords" 1
dagger fire 8
dagger koala 1
dagger "new button" 8
dagger "no one under eighteen" 1
dagger "purple heart" 1
dagger "raising hands" 1
dagger rose 4
dagger seedling 4
dagger shield 2
dagger sparkles 1
dagger "sunrise over mountains" 1
dagger "white flower" 2
dagger "wolf face" 1
dango "cherry blossom" 1
dango "frog face" 1
dango "growing heart" 1
dango "soft ice cream" 1
"dashing away" "chequered flag" 1
"dashing away" dog 1
"dashing away" "face blowing a kiss" 1
"dashing away" fire 1
"dashing away" "flying saucer" 1
"dashing away" "globe showing europe-africa" 4
"dashing away" "glowing star" 4
"dashing away" "musical keyboard" 1
"dashing away" "purple heart" 2
"dashing away" "round pushpin" 1
"dashing away" "sign of the horns" 1
"deciduous tree" "face with medical mask" 1
"deciduous tree" "globe showing asia-australia" 1
"deciduous tree" "green heart" 1
"deciduous tree" "leaf fluttering in wind" 1
"deciduous tree" mushroom 2
"deciduous tree" "oncoming automobile" 3
"deciduous tree" "palm tree" 1
"deciduous tree" "person walking" 1
"deciduous tree" "red heart" 1
"deciduous tree" "red paper lantern" 1
"deciduous tree" sparkles 1
"deciduous tree" "tropical fish" 1
"deciduous tree" "two women holding hands" 3
"deciduous tree" "white heavy check mark" 1
deer "cherry blossom" 1
deer "dragon face" 1
deer eagle 1
deer fire 1
deer "orange heart" 1
deer "red heart" 1
deer "sweat droplets" 1
deer tiger 1
"delivery truck" "white heavy check mark" 1
"department store" hotel 3
"department store" "palm tree" 1
"derelict house" "artist palette" 1
"derelict house" ghost 1
"derelict house" "house with garden" 1
"derelict house" "purple heart" 1
"derelict house" "roller coaster" 1
"desert island" parrot 1
"desert island" sailboat 2
"desert island" "water wave" 1
"desert island" "white heavy check mark" 2
"desktop computer" "green heart" 1
"desktop computer" "orange heart" 1
"desktop computer" "shopping bags" 2
"desktop computer" "telephone receiver" 1
"desktop computer" "yellow heart" 1
detective "kiss mark" 1
"diamond suit" capricorn 1
"diamond suit" "club suit" 1
"diamond suit" "heart suit" 2
"diamond suit" "spade suit" 2
"diamond suit" sparkles 3
"diamond with a dot" "beaming face with smiling eyes" 1
"diamond with a dot" "cherry blossom" 1
"diamond with a dot" copyright 1
"diamond with a dot" hibiscus 1
"direct hit" "chess pawn" 1
"direct hit" collision 4
"direct hit" microscope 1
"direct hit" "oncoming fist medium-dark skin tone" 1
"direct hit" "thumbs up" 1
"disappointed face" "beaming face with smiling eyes" 1
"disappointed face" "broken heart" 1
"disappointed face" "crying face" 1
"disappointed face" fire 1
"disappointed face" "loudly crying face" 1
"disappointed face" "pensive face" 1
"disappointed face" "relieved face" 1
"disappointed face" "sparkling heart" 1
"disappointed face" "weary face" 1
"disappointed face" "yellow heart" 1
"diving mask" "blue heart" 1
dizzy "artist palette" 1
dizzy "black heart" 2
dizzy "blue heart" 1
dizzy books 1
dizzy "bust in silhouette" 3
dizzy camera 1
dizzy "cherry blossom" 1
dizzy comet 2
dizzy "crescent moon" 1
dizzy "crossed swords" 1
dizzy dragon 1
dizzy "drooling face" 1
dizzy "eight-pointed star" 4
dizzy "face screaming in fear" 1
dizzy "fallen leaf" 1
dizzy fire 31
dizzy "flexed biceps medium-dark skin tone" 1
dizzy "folded hands" 1
dizzy "folded hands medium skin tone" 1
dizzy "four leaf clover" 1
dizzy "framed picture" 1
dizzy "gem stone" 2
dizzy "globe showing europe-africa" 1
dizzy "glowing star" 4
dizzy "grinning face with smiling eyes" 1
dizzy "growing heart" 1
dizzy "heart decoration" 2
dizzy "heart suit" 1
dizzy "heart with ribbon" 1
dizzy "hot pepper" 1
dizzy label 1
dizzy leo 1
dizzy "loudly crying face" 1
dizzy "love letter" 1
dizzy "man teacher" 4
dizzy mermaid 2
dizzy "mouse face" 1
dizzy "musical notes" 1
dizzy "musical score" 1
dizzy "new moon" 1
dizzy "new moon face" 1
dizzy "ok hand medium skin tone" 1
dizzy "oncoming fist" 1
dizzy "purple heart" 5
dizzy "rabbit face" 1
dizzy rainbow 2
dizzy "raising hands" 2
dizzy "raising hands medium skin tone" 1
dizzy "red heart" 2
dizzy "relieved face" 2
dizzy "revolving hearts" 3
dizzy "shooting star" 2
dizzy skull 1
dizzy "sleeping face" 1
dizzy "smiling face with 3 hearts" 1
dizzy "smiling face with halo" 1
dizzy "smiling face with sunglasses" 1
dizzy sparkles 6
dizzy "sparkling heart" 2
dizzy star-struck 1
dizzy sun 1
dizzy "sun with face" 2
dizzy television 1
dizzy "two hearts" 4
dizzy "unicorn face" 1
dizzy "waxing gibbous moon" 1
dizzy "white heart" 1
dizzy "white medium star" 2
dizzy "women with bunny ears" 1
dizzy "writing hand" 1
"dizzy face" "face with head-bandage" 1
"dizzy face" "flushed face" 1
"dizzy face" "heavy heart exclamation" 1
"dizzy face" "left-facing fist medium-light skin tone" 1
"dizzy face" "smiling face with heart-eyes" 1
"dizzy face" "zipper-mouth face" 1
dna "artist palette" 1
dna "crystal ball" 1
dna e-mail 2
dna "robot face" 1
dog baby 2
dog balloon 1
dog "blue heart" 1
dog bomb 1
dog "crossed fingers" 1
dog "dog face" 2
dog horse 1
dog "paw prints" 1
dog "red heart" 1
dog "see-no-evil monkey" 1
dog sponge 1
dog "two hearts" 1
dog "wrapped gift" 1
"dog face" "ballet shoes" 1
"dog face" "bear face" 2
"dog face" "black heart" 1
"dog face" "blue heart" 1
"dog face" camel 1
"dog face" "camera with flash" 1
"dog face" "cat face" 1
"dog face" "christmas tree" 1
"dog face" dog 3
"dog face" "face savoring food" 1
"dog face" "face with tears of joy" 1
"dog face" "fallen leaf" 1
"dog face" fire 1
"dog face" "glowing star" 1
"dog face" "green heart" 2
"dog face" hibiscus 1
"dog face" man 1
"dog face" "party popper" 1
"dog face" "paw prints" 6
"dog face" pizza 2
"dog face" "red heart" 3
"dog face" shark 1
"dog face" snake 1
"dog face" sparkles 1
"dog face" "sparkling heart" 1
"dog face" "thumbs up light skin tone" 1
"dog face" "two hearts" 1
"dog face" "vulcan salute" 1
"dog face" "wolf face" 1
"dollar banknote" "closed book" 1
"dollar banknote" "laptop computer" 1
"dollar banknote" "money bag" 4
"dollar banknote" "squinting face with tongue" 1
"dollar banknote" "zany face" 1
dolphin "artist palette" 1
dolphin butterfly 1
dolphin "double exclamation mark" 1
dolphin "framed picture" 1
dolphin "frog face" 1
dolphin "relieved face" 2
dolphin shark 1
dolphin snowflake 1
dolphin sparkles 1
dolphin "spouting whale" 2
dolphin sunflower 1
dolphin "tropical fish" 1
dolphin "water wave" 1
door "musical note" 2
"double curly loop" "man dancing medium-dark skin tone" 1
"double exclamation mark" "artist palette" 1
"double exclamation mark" "backhand index pointing down" 1
"double exclamation mark" "beating heart" 1
"double exclamation mark" "beer mug" 1
"double exclamation mark" "black heart" 2
"double exclamation mark" camera 1
"double exclamation mark" "chequered flag" 1
"double exclamation mark" "clinking beer mugs" 1
"double exclamation mark" coconut 1
"double exclamation mark" "crossed fingers medium skin tone" 1
"double exclamation mark" "electric plug" 1
"double exclamation mark" "exclamation mark" 2
"double exclamation mark" "fast down button" 1
"double exclamation mark" fire 11
"double exclamation mark" "flexed biceps medium-dark skin tone" 1
"double exclamation mark" "grinning squinting face" 1
"double exclamation mark" honeybee 1
"double exclamation mark" "hundred points" 3
"double exclamation mark" "japanese symbol for beginner" 1
"double exclamation mark" melon 2
"double exclamation mark" memo 1
"double exclamation mark" "mobile phone with arrow" 2
"double exclamation mark" "money-mouth face" 1
"double exclamation mark" "money bag" 1
"double exclamation mark" "movie camera" 1
"double exclamation mark" "party popper" 1
"double exclamation mark" "pensive face" 2
"double exclamation mark" "pleading face" 1
"double exclamation mark" "police car light" 1
"double exclamation mark" prohibited 1
"double exclamation mark" "purple heart" 1
"double exclamation mark" "question mark" 1
"double exclamation mark" "red heart" 2
"double exclamation mark" "regional indicator symbol letter m" 2
"double exclamation mark" "regional indicator symbol letter u" 1
"double exclamation mark" "relieved face" 1
"double exclamation mark" "right arrow" 1
"double exclamation mark" "ringed planet" 1
"double exclamation mark" "rolling on the floor laughing" 1
"double exclamation mark" "smiling face with heart-eyes" 3
"double exclamation mark" "smiling face with horns" 1
"double exclamation mark" "smiling face with sunglasses" 1
"double exclamation mark" sparkles 1
"double exclamation mark" "stop sign" 1
"double exclamation mark" "thinking face" 1
"double exclamation mark" toilet 1
"double exclamation mark" "two hearts" 2
"double exclamation mark" "weary face" 1
"double exclamation mark" "white exclamation mark" 1
"double exclamation mark" "winking face" 1
"double exclamation mark" "woman dancing medium skin tone" 1
doughnut banana 1
doughnut "exclamation mark" 1
doughnut "glass of milk" 1
doughnut peach 1
doughnut pineapple 1
doughnut "regional indicator symbol letter g" 1
doughnut "revolving hearts" 1
dove "artist palette" 2
dove "bow and arrow" 2
dove butterfly 2
dove "cherry blossom" 2
dove "direct hit" 1
dove eagle 2
dove "folded hands medium-light skin tone" 2
dove "glowing star" 2
dove "linked paperclips" 1
dove "red heart" 1
dove "smiling face with 3 hearts" 2
dove snake 1
dove "sparkling heart" 1
dove "white heart" 1
"down-left arrow" "black small square" 3
"down-right arrow" "down-left arrow" 1
"down-right arrow" "downwards button" 3
"down arrow" "artist palette" 4
"down arrow" "backhand index pointing right" 1
"down arrow" calendar 1
"down arrow" "face savoring food" 1
"down arrow" "face with tears of joy" 1
"down arrow" "film projector" 1
"down arrow" "framed picture" 2
"down arrow" "globe with meridians" 1
"down arrow" "police car light" 3
"down arrow" "regional indicator symbol letter u" 1
"down arrow" sparkles 1
"down arrow" "spouting whale" 1
"down arrow" "stop sign" 3
"down arrow" "up-right arrow" 1
"down arrow" "victory hand" 1
"downcast face with sweat" "anxious face with sweat" 1
"downcast face with sweat" "confounded face" 2
"downcast face with sweat" "drooling face" 1
"downcast face with sweat" eggplant 1
"downcast face with sweat" "face with tears of joy" 1
"downcast face with sweat" "pensive face" 1
"downcast face with sweat" "red heart" 1
"downcast face with sweat" sparkles 1
"downcast face with sweat" "thinking face" 1
"downwards button" "down-left arrow" 3
"downwards button" "fast down button" 3
dragon "artist palette" 3
dragon "blue heart" 1
dragon "clinking beer mugs" 1
dragon dizzy 1
dragon "dragon face" 1
dragon eyes 1
dragon "grinning face with smiling eyes" 1
dragon "man mage" 1
dragon "party popper" 1
dragon "sign of the horns dark skin tone" 1
dragon "trade mark" 1
dragon "wolf face" 2
"dragon face" "chocolate bar" 1
"dragon face" "clinking beer mugs" 2
"dragon face" coffin 1
"dragon face" comet 1
"dragon face" "crystal ball" 1
"dragon face" dragon 2
"dragon face" fire 1
"dragon face" "glowing star" 1
"dragon face" "green heart" 2
"dragon face" "grinning squinting face" 1
"dragon face" "leaf fluttering in wind" 1
"dragon face" ogre 1
"dragon face" "red heart" 1
"dragon face" "sweat droplets" 1
"dragon face" "two hearts" 1
"dragon face" "unicorn face" 1
"dragon face" "woman shrugging" 1
dress "artist palette" 1
dress eggplant 1
dress "framed picture" 1
dress lipstick 1
dress "loudly crying face" 2
dress "woman’s clothes" 2
"drooling face" "birthday cake" 1
"drooling face" "black heart" 1
"drooling face" cherries 1
"drooling face" "clown face" 1
"drooling face" eggplant 1
"drooling face" "face savoring food" 1
"drooling face" fire 3
"drooling face" "framed picture" 1
"drooling face" "green heart" 1
"drooling face" "growing heart" 1
"drooling face" "heart suit" 1
"drooling face" "hot face" 1
"drooling face" "hushed face" 1
"drooling face" "nazar amulet" 1
"drooling face" "ok hand medium-light skin tone" 1
"drooling face" "pensive face" 1
"drooling face" "pleading face" 1
"drooling face" "red heart" 1
"drooling face" "sleepy face" 1
"drooling face" "smiling face with 3 hearts" 1
"drooling face" "smiling face with heart-eyes" 4
"drooling face" "smirking face" 1
"drooling face" "sparkling heart" 1
"drooling face" "sweat droplets" 3
"drooling face" "tired face" 1
"drooling face" tongue 1
"drooling face" "two hearts" 1
"drooling face" "woozy face" 1
droplet "artist palette" 1
droplet "blue heart" 1
droplet "deciduous tree" 1
droplet "desert island" 1
droplet "drop of blood" 1
droplet "face blowing a kiss" 1
droplet microbe 1
droplet peach 1
droplet rainbow 4
droplet "record button" 1
droplet sparkles 1
droplet sun 1
droplet "sweat droplets" 1
droplet umbrella 1
droplet "water wave" 1
drum fire 1
drum microphone 1
drum "performing arts" 1
drum "smiling face with heart-eyes" 1
drum trumpet 2
duck crocodile 1
duck "red heart" 1
duck "writing hand" 1
dvd "artist palette" 7
dvd "palm tree" 1
e-mail copyright 3
e-mail "gem stone" 1
e-mail "regional indicator symbol letter a" 1
e-mail rocket 1
e-mail telephone 3
eagle airplane 2
eagle "backhand index pointing right" 1
eagle badger 1
eagle "boy light skin tone" 1
eagle collision 1
eagle deer 1
eagle dove 2
eagle "dragon face" 1
eagle "flexed biceps" 2
eagle "palm tree" 2
eagle "purple heart" 1
eagle "regional indicator symbol letter u" 1
eagle spider 1
ear "backhand index pointing down" 1
ear "camera with flash" 1
ear "floppy disk" 1
ear "red heart" 1
ear "thumbs up light skin tone" 1
"ear of corn" jack-o-lantern 1
"ear with hearing aid" "medium light skin tone" 1
egg "baby chick" 1
egg bacon 1
egg "cut of meat" 1
eggplant alien 1
eggplant "blue heart" 1
eggplant "bottle with popping cork" 1
eggplant droplet 1
eggplant eye 1
eggplant eyes 2
eggplant fire 1
eggplant "grinning squinting face" 1
eggplant melon 1
eggplant peach 2
eggplant "play button" 1
eggplant "purple heart" 1
eggplant "red heart" 1
eggplant "sweat droplets" 18
eggplant tongue 1
eggplant volcano 1
eggplant warning 1
eggplant "wolf face" 1
"eight-pointed star" "diamond with a dot" 1
"eight-pointed star" dizzy 5
"eight-pointed star" "euro banknote" 1
"eight-pointed star" herb 4
"eight-pointed star" "large blue diamond" 1
"eight-pointed star" "large orange diamond" 2
"eight-pointed star" stopwatch 1
"eight-spoked asterisk" "full moon face" 1
"eight-spoked asterisk" "japanese reserved button" 1
"eight-spoked asterisk" "money bag" 1
"eject button" crown 2
"electric plug" camera 1
"electric plug" collision 1
"electric plug" rose 1
elephant "artist palette" 2
elephant "backhand index pointing right" 1
elephant "cherry blossom" 1
elephant fire 1
elephant rhinoceros 1
envelope "artist palette" 1
envelope "bright button" 2
envelope dizzy 2
envelope "eight-pointed star" 1
"envelope with arrow" "love letter" 1
"euro banknote" trophy 1
"evergreen tree" books 2
"evergreen tree" "cherry blossom" 2
"evergreen tree" "christmas tree" 2
"evergreen tree" cloud 1
"evergreen tree" "deciduous tree" 1
"evergreen tree" "fallen leaf" 1
"evergreen tree" "four leaf clover" 1
"evergreen tree" "framed picture" 1
"evergreen tree" "gem stone" 1
"evergreen tree" "leaf fluttering in wind" 2
"evergreen tree" "maple leaf" 2
"evergreen tree" "new moon face" 1
"evergreen tree" "oncoming bus" 3
"evergreen tree" "oncoming taxi" 1
"evergreen tree" "red heart" 1
"evergreen tree" "santa claus" 1
"evergreen tree" seedling 1
"evergreen tree" "shooting star" 1
"evergreen tree" snowflake 2
"evergreen tree" sparkles 3
"evergreen tree" "water wave" 1
ewe chicken 1
ewe fleur-de-lis 1
ewe mountain 1
"exclamation mark" "artist palette" 1
"exclamation mark" blossom 1
"exclamation mark" "blue heart" 1
"exclamation mark" "clapping hands" 1
"exclamation mark" "crescent moon" 1
"exclamation mark" cyclone 2
"exclamation mark" "double exclamation mark" 2
"exclamation mark" doughnut 1
"exclamation mark" "face blowing a kiss" 1
"exclamation mark" fire 2
"exclamation mark" "folded hands medium-dark skin tone" 1
"exclamation mark" herb 1
"exclamation mark" lemon 1
"exclamation mark" link 1
"exclamation mark" "money bag" 1
"exclamation mark" "oncoming fist medium skin tone" 1
"exclamation mark" "raising hands" 1
"exclamation mark" "red heart" 1
"exclamation mark" sparkles 1
"exclamation mark" "stop sign" 2
"exclamation mark" tornado 1
"exclamation mark" "two hearts" 1
"exclamation mark" "white exclamation mark" 3
"exclamation mark" "white medium star" 1
"exclamation mark" "white small square" 1
"exclamation question mark" "ok hand" 2
"exclamation question mark" "question mark" 1
"exclamation question mark" "red heart" 1
"exploding head" "artist palette" 2
"exploding head" "beaming face with smiling eyes" 1
"exploding head" books 1
"exploding head" "cat face with tears of joy" 1
"exploding head" "clapping hands medium-light skin tone" 1
"exploding head" "cold face" 1
"exploding head" collision 1
"exploding head" comet 1
"exploding head" "crescent moon" 1
"exploding head" "drooling face" 1
"exploding head" "face with steam from nose" 1
"exploding head" "face with tears of joy" 1
"exploding head" "face with tongue" 1
"exploding head" "fast-forward button" 5
"exploding head" fire 4
"exploding head" "grimacing face" 1
"exploding head" honeybee 1
"exploding head" "loudly crying face" 2
"exploding head" "man artist medium-light skin tone" 1
"exploding head" "pleading face" 1
"exploding head" rainbow 2
"exploding head" "red circle" 1
"exploding head" "red heart" 1
"exploding head" "rolling on the floor laughing" 1
"exploding head" "sign of the horns light skin tone" 1
"exploding head" "skull and crossbones" 1
"exploding head" "smiling face with 3 hearts" 1
"exploding head" "smiling face with heart-eyes" 1
"exploding head" "smiling face with horns" 1
"exploding head" "sparkling heart" 1
"exploding head" star-struck 1
"exploding head" "two hearts" 3
"exploding head" "weary face" 1
"exploding head" "writing hand medium-dark skin tone" 1
"exploding head" "zany face" 1
"expressionless face" "face with steam from nose" 1
"expressionless face" "face with tears of joy" 1
"expressionless face" "neutral face" 1
"expressionless face" paintbrush 1
"expressionless face" "pouting face" 1
eye "angry face with horns" 1
eye "artist palette" 3
eye balloon 1
eye "black heart" 1
eye "black medium-small square" 1
eye "camera with flash" 1
eye "cherry blossom" 1
eye "cross mark" 1
eye eyes 2
eye "folded hands" 1
eye glasses 1
eye "globe showing americas" 1
eye jack-o-lantern 1
eye monkey 1
eye mouth 5
eye "person running" 2
eye "regional indicator symbol letter u" 3
eye rose 1
eye skull 1
eye "small orange diamond" 1
eye "smiling face with heart-eyes" 1
eye "sweat droplets" 1
eye "thumbs up light skin tone" 2
eye tongue 3
eye "top hat" 1
eye "u200d:left speech bubble" 2
eye "victory hand medium-light skin tone" 1
eye "writing hand" 1
eyes "1st place medal" 1
eyes "artist palette" 5
eyes "backhand index pointing down" 5
eyes "backhand index pointing right" 5
eyes balloon 1
eyes basketball 1
eyes "beaming face with smiling eyes" 2
eyes "beating heart" 1
eyes "bottle with popping cork" 1
eyes butterfly 1
eyes "clapping hands" 2
eyes "clapping hands light skin tone" 2
eyes cloud 2
eyes collision 2
eyes "computer mouse" 1
eyes "cowboy hat face" 3
eyes "diamond with a dot" 1
eyes "drooling face" 1
eyes eggplant 1
eyes "exploding head" 2
eyes eye 2
eyes "face blowing a kiss" 1
eyes "face screaming in fear" 4
eyes "face vomiting" 1
eyes "face with monocle" 1
eyes "face with tears of joy" 2
eyes "face with tongue" 1
eyes fire 5
eyes firecracker 1
eyes "flushed face" 2
eyes "folded hands" 1
eyes "folded hands medium skin tone" 6
eyes "four leaf clover" 1
eyes "fox face" 2
eyes "framed picture" 1
eyes "full moon" 1
eyes "green heart" 1
eyes "grinning face with big eyes" 1
eyes "grinning face with sweat" 1
eyes "heart decoration" 1
eyes "heart suit" 2
eyes hibiscus 1
eyes "high-heeled shoe" 1
eyes "high voltage" 2
eyes honeybee 2
eyes "hot beverage" 2
eyes "hot face" 1
eyes "hugging face" 1
eyes "hundred points" 1
eyes "index pointing up" 1
eyes kiss 1
eyes locked 2
eyes "loudly crying face" 3
eyes "man bowing medium skin tone" 1
eyes "man shrugging medium-dark skin tone" 1
eyes "milky way" 1
eyes "mobile phone" 1
eyes "mobile phone with arrow" 1
eyes "money-mouth face" 1
eyes "money with wings" 1
eyes mosque 1
eyes "nauseated face" 1
eyes "ok hand" 9
eyes "oncoming fist" 2
eyes pager 1
eyes "party popper" 1
eyes peach 1
eyes "pleading face" 2
eyes "purple heart" 2
eyes rainbow 1
eyes "raised back of hand" 1
eyes "raising hands" 1
eyes "raising hands light skin tone" 3
eyes "red heart" 8
eyes "relieved face" 1
eyes "right arrow" 1
eyes "rolling on the floor laughing" 3
eyes skull 1
eyes "smiling face" 1
eyes "smiling face with 3 hearts" 2
eyes "smiling face with halo" 1
eyes "smiling face with heart-eyes" 7
eyes "smiling face with horns" 2
eyes "smiling face with smiling eyes" 1
eyes "smirking face" 3
eyes sparkles 18
eyes "sparkling heart" 6
eyes "speaking head" 1
eyes "squinting face with tongue" 1
eyes star-struck 3
eyes "sweat droplets" 16
eyes t-shirt 1
eyes "thinking face" 4
eyes "thumbs up" 2
eyes "two hearts" 6
eyes "victory hand" 1
eyes wales 1
eyes "water wave" 1
eyes watermelon 1
eyes "white exclamation mark" 1
eyes "winking face" 1
eyes "winking face with tongue" 1
eyes "woman artist" 1
eyes "world map" 1
eyes "writing hand medium-dark skin tone" 1
eyes "yellow heart" 1
"face blowing a kiss" "artist palette" 2
"face blowing a kiss" "beating heart" 1
"face blowing a kiss" "black heart" 1
"face blowing a kiss" "blue heart" 2
"face blowing a kiss" bouquet 2
"face blowing a kiss" "camera with flash" 1
"face blowing a kiss" "cherry blossom" 1
"face blowing a kiss" "cityscape at dusk" 1
"face blowing a kiss" "dog face" 1
"face blowing a kiss" eggplant 1
"face blowing a kiss" "exclamation mark" 1
"face blowing a kiss" "face savoring food" 1
"face blowing a kiss" "face with tears of joy" 1
"face blowing a kiss" "face with tongue" 1
"face blowing a kiss" "fallen leaf" 1
"face blowing a kiss" fire 2
"face blowing a kiss" "folded hands" 2
"face blowing a kiss" "framed picture" 1
"face blowing a kiss" ghost 1
"face blowing a kiss" "glowing star" 1
"face blowing a kiss" "growing heart" 2
"face blowing a kiss" "heart suit" 3
"face blowing a kiss" "heavy heart exclamation" 1
"face blowing a kiss" "high voltage" 1
"face blowing a kiss" "kiss mark" 6
"face blowing a kiss" "light bulb" 1
"face blowing a kiss" "love letter" 1
"face blowing a kiss" "ok hand" 1
"face blowing a kiss" "ok hand medium-light skin tone" 1
"face blowing a kiss" "orange heart" 1
"face blowing a kiss" "pleading face" 2
"face blowing a kiss" "raised fist" 1
"face blowing a kiss" "red heart" 13
"face blowing a kiss" "revolving hearts" 1
"face blowing a kiss" "rolling on the floor laughing" 1
"face blowing a kiss" rose 2
"face blowing a kiss" "see-no-evil monkey" 1
"face blowing a kiss" "shushing face" 1
"face blowing a kiss" "smiling cat face with heart-eyes" 1
"face blowing a kiss" "smiling face with 3 hearts" 5
"face blowing a kiss" "smiling face with heart-eyes" 9
"face blowing a kiss" "smiling face with smiling eyes" 2
"face blowing a kiss" sparkles 2
"face blowing a kiss" "sparkling heart" 2
"face blowing a kiss" "squinting face with tongue" 1
"face blowing a kiss" "thumbs up" 4
"face blowing a kiss" "thumbs up medium-light skin tone" 1
"face blowing a kiss" "two hearts" 4
"face blowing a kiss" "vulcan salute" 1
"face blowing a kiss" "water wave" 1
"face blowing a kiss" "weary face" 1
"face blowing a kiss" "white medium star" 1
"face blowing a kiss" "winking face" 1
"face blowing a kiss" "woman cook medium skin tone" 1
"face blowing a kiss" "woman dancing medium-light skin tone" 1
"face savoring food" "beaming face with smiling eyes" 1
"face savoring food" "black heart" 2
"face savoring food" cactus 1
"face savoring food" "call me hand" 1
"face savoring food" "clinking glasses" 1
"face savoring food" eggplant 1
"face savoring food" "face blowing a kiss" 1
"face savoring food" "face with tears of joy" 3
"face savoring food" fire 4
"face savoring food" "folded hands" 1
"face savoring food" "framed picture" 1
"face savoring food" "globe showing americas" 1
"face savoring food" "green heart" 1
"face savoring food" "grinning face" 1
"face savoring food" "grinning face with smiling eyes" 2
"face savoring food" "grinning face with sweat" 1
"face savoring food" "growing heart" 1
"face savoring food" "heart with ribbon" 1
"face savoring food" "hot face" 1
"face savoring food" "hugging face" 2
"face savoring food" peach 2
"face savoring food" "pleading face" 1
"face savoring food" "purple heart" 2
"face savoring food" "sleeping face" 1
"face savoring food" "smiling face" 1
"face savoring food" "smiling face with 3 hearts" 2
"face savoring food" "smiling face with heart-eyes" 4
"face savoring food" "smiling face with smiling eyes" 1
"face savoring food" "smiling face with sunglasses" 1
"face savoring food" "smirking face" 1
"face savoring food" "sparkling heart" 1
"face savoring food" "steaming bowl" 1
"face savoring food" sushi 1
"face savoring food" "sweat droplets" 1
"face savoring food" "thumbs up" 1
"face savoring food" "thumbs up light skin tone" 1
"face savoring food" "two hearts" 2
"face savoring food" "woozy face" 1
"face savoring food" "yellow heart" 1
"face screaming in fear" "anxious face with sweat" 1
"face screaming in fear" "astonished face" 1
"face screaming in fear" bacon 1
"face screaming in fear" "beating heart" 2
"face screaming in fear" "blue heart" 1
"face screaming in fear" books 1
"face screaming in fear" collision 2
"face screaming in fear" dizzy 1
"face screaming in fear" "dizzy face" 1
"face screaming in fear" "exploding head" 6
"face screaming in fear" eyes 1
"face screaming in fear" "face vomiting" 1
"face screaming in fear" "face with hand over mouth" 1
"face screaming in fear" "face with tears of joy" 1
"face screaming in fear" "fearful face" 3
"face screaming in fear" "grinning face with smiling eyes" 1
"face screaming in fear" "heart with ribbon" 1
"face screaming in fear" hibiscus 2
"face screaming in fear" "loudly crying face" 3
"face screaming in fear" "purple heart" 4
"face screaming in fear" "raising hands" 1
"face screaming in fear" "red heart" 2
"face screaming in fear" "regional indicator symbol letter u" 1
"face screaming in fear" "revolving hearts" 1
"face screaming in fear" skull 2
"face screaming in fear" "smiling face with 3 hearts" 2
"face screaming in fear" "smiling face with heart-eyes" 6
"face screaming in fear" "smiling face with horns" 2
"face screaming in fear" "smiling face with smiling eyes" 1
"face screaming in fear" sparkles 2
"face screaming in fear" "sparkling heart" 2
"face screaming in fear" star-struck 2
"face screaming in fear" "thumbs up" 1
"face screaming in fear" "two hearts" 3
"face screaming in fear" "white heavy check mark" 1
"face screaming in fear" "white medium star" 1
"face screaming in fear" "winking face" 3
"face vomiting" candle 1
"face vomiting" "confounded face" 1
"face vomiting" crayon 1
"face vomiting" "flushed face" 1
"face vomiting" "four leaf clover" 1
"face vomiting" hole 1
"face vomiting" "man facepalming medium-dark skin tone" 1
"face vomiting" "pouting face" 1
"face vomiting" toilet 1
"face vomiting" "woman artist" 1
"face with hand over mouth" "black heart" 1
"face with hand over mouth" "face with tears of joy" 1
"face with hand over mouth" "flushed face" 1
"face with hand over mouth" "grinning face with smiling eyes" 1
"face with hand over mouth" "grinning face with sweat" 1
"face with hand over mouth" "heart suit" 1
"face with hand over mouth" "kissing face" 2
"face with hand over mouth" "loudly crying face" 1
"face with hand over mouth" "smiling cat face with heart-eyes" 1
"face with hand over mouth" "smiling face with 3 hearts" 1
"face with hand over mouth" "smiling face with smiling eyes" 2
"face with hand over mouth" "smiling face with sunglasses" 1
"face with hand over mouth" "sparkling heart" 1
"face with hand over mouth" "two hearts" 3
"face with hand over mouth" "victory hand" 1
"face with head-bandage" compass 1
"face with head-bandage" "loudly crying face" 1
"face with head-bandage" shark 1
"face with head-bandage" "weary face" 1
"face with medical mask" "cold face" 1
"face with medical mask" fire 2
"face with medical mask" "globe with meridians" 1
"face with medical mask" "loudly crying face" 1
"face with medical mask" "pensive face" 2
"face with medical mask" "sparkling heart" 1
"face with medical mask" "zipper-mouth face" 1
"face with monocle" "beaming face with smiling eyes" 1
"face with monocle" "clapping hands" 1
"face with monocle" "face savoring food" 1
"face with monocle" "face with raised eyebrow" 2
"face with monocle" "flushed face" 1
"face with monocle" "magnifying glass tilted right" 1
"face with monocle" "man shrugging medium skin tone" 1
"face with monocle" "money bag" 1
"face with monocle" "nerd face" 1
"face with monocle" "pile of poo" 1
"face with monocle" "pleading face" 1
"face with monocle" radio 1
"face with monocle" "raising hands medium-dark skin tone" 1
"face with monocle" "regional indicator symbol letter u" 2
"face with monocle" "see-no-evil monkey" 1
"face with monocle" shield 1
