source target weight
"artist palette" "man construction worker medium-dark skin tone" 1
"artist palette" "man cook medium-dark skin tone" 1
"artist palette" "man shrugging dark skin tone" 1
"artist palette" "man vampire" 2
"artist palette" "martial arts uniform" 1
"artist palette" memo 2
"artist palette" microphone 1
"artist palette" minibus 2
"artist palette" "mobile phone" 3
"artist palette" "money bag" 1
"artist palette" "money with wings" 1
"artist palette" mouse 1
"artist palette" "musical note" 1
"artist palette" "musical notes" 3
"artist palette" "musical score" 3
"artist palette" ogre 1
"artist palette" "ok hand" 2
"artist palette" "open book" 1
"artist palette" paintbrush 63
"artist palette" "palm tree" 1
"artist palette" "party popper" 8
"artist palette" pen 3
"artist palette" pencil 18
"artist palette" "performing arts" 9
"artist palette" "pile of poo" 1
"artist palette" pill 1
"artist palette" pizza 1
"artist palette" "police car light" 6
"artist palette" "purple heart" 5
"artist palette" "question mark" 1
"artist palette" rainbow 1
"artist palette" "raised fist" 1
"artist palette" "raising hands light skin tone" 1
"artist palette" "red apple" 1
"artist palette" "red heart" 19
"artist palette" "regional indicator symbol letter b" 2
"artist palette" "regional indicator symbol letter c" 3
"artist palette" "regional indicator symbol letter d" 2
"artist palette" "regional indicator symbol letter f" 1
"artist palette" "regional indicator symbol letter g" 1
"artist palette" "regional indicator symbol letter i" 6
"artist palette" "regional indicator symbol letter t" 1
"artist palette" "regional indicator symbol letter u" 3
"artist palette" "reverse button" 3
"artist palette" "revolving hearts" 2
"artist palette" rhinoceros 2
"artist palette" "right arrow" 6
"artist palette" "right arrow curving down" 2
"artist palette" rocket 2
"artist palette" "rolling on the floor laughing" 1
"artist palette" rose 3
"artist palette" scotland 1
"artist palette" seedling 1
"artist palette" "shallow pan of food" 1
"artist palette" shamrock 1
"artist palette" "slightly smiling face" 2
"artist palette" "smiling face" 4
"artist palette" "smiling face with 3 hearts" 1
"artist palette" "smiling face with heart-eyes" 3
"artist palette" "smiling face with horns" 1
"artist palette" "smiling face with smiling eyes" 6
"artist palette" "smiling face with sunglasses" 6
"artist palette" "smirking face" 1
"artist palette" snake 1
"artist palette" snowflake 2
"artist palette" "soccer ball" 1
"artist palette" sparkles 21
"artist palette" "sparkling heart" 5
"artist palette" squid 1
"artist palette" "statue of liberty" 1
"artist palette" "steaming bowl" 1
"artist palette" "sun with face" 5
"artist palette" sunflower 1
"artist palette" "sweat droplets" 2
"artist palette" t-shirt 1
"artist palette" "teddy bear" 1
"artist palette" "thumbs up" 2
"artist palette" "top hat" 2
"artist palette" trophy 2
"artist palette" "tropical drink" 2
"artist palette" trumpet 1
"artist palette" "two hearts" 3
"artist palette" "video camera" 1
"artist palette" violin 1
"artist palette" "water wave" 1
"artist palette" "white heavy check mark" 1
"artist palette" "white medium star" 3
"artist palette" "wine glass" 3
"artist palette" "woman artist" 9
"artist palette" "woman artist light skin tone" 2
"artist palette" "woman artist medium skin tone" 2
"artist palette" "woman dancing medium skin tone" 1
"artist palette" "woman fairy dark skin tone" 1
"artist palette" "woman mage" 1
"artist palette" "woman vampire" 1
"artist palette" "wrapped gift" 2
"artist palette" "writing hand" 1
"artist palette" "writing hand light skin tone" 2
"artist palette" "writing hand medium-dark skin tone" 3
"artist palette" "writing hand medium-light skin tone" 2
"artist palette" yarn 1
"artist palette" "yellow heart" 6
"astonished face" "clapping hands" 1
"astonished face" "face with rolling eyes" 1
"astonished face" "folded hands medium-dark skin tone" 1
"astonished face" "grinning face with big eyes" 1
"astonished face" "growing heart" 1
"astonished face" "heavy check mark" 1
"astonished face" "ok hand" 1
"astonished face" "raising hands" 1
"astonished face" "red heart" 1
"astonished face" "smiling face with sunglasses" 1
"astonished face" "thumbs up" 1
"astonished face" "upside-down face" 1
"atom symbol" "chart increasing with yen" 1
automobile "bearded person medium skin tone" 1
automobile "couple with heart" 1
automobile "heavy heart exclamation" 1
automobile scroll 1
automobile "skull and crossbones" 1
automobile "smiling face" 1
automobile sparkles 1
automobile "tokyo tower" 1
automobile trophy 1
automobile "video game" 1
avocado crown 1
avocado sparkles 1
avocado "thinking face" 1
"b button" "blood type" 16
baby calendar 1
baby "child medium-light skin tone" 2
baby "hand with fingers splayed" 1
baby "heavy minus sign" 1
baby pencil 3
baby "sparkling heart" 1
baby "thumbs up" 1
baby "umbrella with rain drops" 1
"baby angel" "angry face with horns" 1
"baby angel" "kitchen knife" 2
"baby angel" "sparkling heart" 1
"baby angel" "two hearts" 1
"baby angel" "yellow heart" 1
"baby angel light skin tone" "black heart" 1
"baby angel light skin tone" "thought balloon" 1
"baby angel light skin tone" trumpet 1
"baby angel medium-dark skin tone" "raising hands medium skin tone" 1
"baby angel medium-light skin tone" "gem stone" 1
"baby angel medium skin tone" sparkles 1
"baby bottle" chains 1
"baby bottle" cigarette 1
"baby bottle" cookie 1
"baby bottle" shortcake 2
"baby bottle" skull 1
"baby chick" chicken 1
"baby chick" "dashing away" 1
"baby dark skin tone" "beaming face with smiling eyes" 1
"baby light skin tone" "baby bottle" 1
"baby light skin tone" "girl medium-light skin tone" 1
"backhand index pointing down" "backhand index pointing down dark skin tone" 2
"backhand index pointing down" "backhand index pointing down medium-dark skin tone" 1
"backhand index pointing down" "backhand index pointing up" 1
"backhand index pointing down" "beaming face with smiling eyes" 4
"backhand index pointing down" "blue heart" 1
"backhand index pointing down" "camera with flash" 1
"backhand index pointing down" collision 1
"backhand index pointing down" "double exclamation mark" 1
"backhand index pointing down" eye 1
"backhand index pointing down" eyes 2
"backhand index pointing down" "face blowing a kiss" 1
"backhand index pointing down" "face screaming in fear" 1
"backhand index pointing down" "face with tears of joy" 1
"backhand index pointing down" fire 1
"backhand index pointing down" "green heart" 2
"backhand index pointing down" "hugging face" 1
"backhand index pointing down" "mobile phone with arrow" 1
"backhand index pointing down" "orange heart" 1
"backhand index pointing down" "purple heart" 1
"backhand index pointing down" "red heart" 2
"backhand index pointing down" "regional indicator symbol letter u" 2
"backhand index pointing down" "right arrow" 1
"backhand index pointing down" "see-no-evil monkey" 1
"backhand index pointing down" "smiling face with heart-eyes" 1
"backhand index pointing down" "smiling face with smiling eyes" 2
"backhand index pointing down" sparkles 1
"backhand index pointing down" "studio microphone" 1
"backhand index pointing down" "thinking face" 1
"backhand index pointing down" "thumbs up" 1
"backhand index pointing down" "white exclamation mark" 1
"backhand index pointing down" "yellow heart" 1
"backhand index pointing down dark skin tone" "backhand index pointing down" 1
"backhand index pointing down dark skin tone" "backhand index pointing down medium-dark skin tone" 1
"backhand index pointing down dark skin tone" "backhand index pointing down medium-light skin tone" 1
"backhand index pointing down light skin tone" "backhand index pointing down dark skin tone" 1
"backhand index pointing down light skin tone" eyes 1
"backhand index pointing down light skin tone" "face with hand over mouth" 1
"backhand index pointing down light skin tone" "pleading face" 1
"backhand index pointing down light skin tone" "raising hands" 1
"backhand index pointing down medium-dark skin tone" "backhand index pointing down light skin tone" 1
"backhand index pointing down medium-dark skin tone" "face with tears of joy" 1
"backhand index pointing down medium-dark skin tone" "framed picture" 1
"backhand index pointing down medium-dark skin tone" "regional indicator symbol letter u" 1
"backhand index pointing down medium-light skin tone" "backhand index pointing down" 1
"backhand index pointing down medium-light skin tone" "face savoring food" 1
"backhand index pointing down medium-light skin tone" "red heart" 1
"backhand index pointing down medium skin tone" "high voltage" 2
"backhand index pointing down medium skin tone" "hundred points" 1
"backhand index pointing down medium skin tone" "police car light" 1
"backhand index pointing down medium skin tone" "relieved face" 1
"backhand index pointing down medium skin tone" "triangular flag" 1
"backhand index pointing left" "backhand index pointing right" 2
"backhand index pointing left" "cherry blossom" 1
"backhand index pointing left" "flushed face" 2
"backhand index pointing left" "growing heart" 1
"backhand index pointing left" "ok hand" 1
"backhand index pointing left" "orange heart" 1
"backhand index pointing left" "pleading face" 1
"backhand index pointing left" "raising hands" 1
"backhand index pointing left" "regional indicator symbol letter h" 3
"backhand index pointing left" "smiling face with sunglasses" 1
"backhand index pointing left" "white medium star" 1
"backhand index pointing left light skin tone" lollipop 2
"backhand index pointing right" "backhand index pointing down" 1
"backhand index pointing right" "backhand index pointing left" 37
"backhand index pointing right" eyes 3
"backhand index pointing right" "fast-forward button" 2
"backhand index pointing right" "folded hands" 1
"backhand index pointing right" "gem stone" 2
"backhand index pointing right" "globe with meridians" 1
"backhand index pointing right" link 1
"backhand index pointing right" "ok hand" 1
"backhand index pointing right" "radio button" 1
"backhand index pointing right" "raising hands" 1
"backhand index pointing right" "regional indicator symbol letter b" 1
"backhand index pointing right" "regional indicator symbol letter t" 1
"backhand index pointing right" "regional indicator symbol letter u" 1
"backhand index pointing right" "slightly smiling face" 1
